,Date, Open, High, Low, Close,Date_PE,PE_CAPE,TR CAPE,Yield
0,12/31/20,3733.27,3760.2,3726.88,3756.07,2020.12,33.77,37.03,3.77%
1,12/30/20,3736.19,3744.63,3730.21,3732.04,2020.12,33.77,37.03,3.77%
2,12/29/20,3750.01,3756.12,3723.31,3727.04,2020.12,33.77,37.03,3.77%
3,12/28/20,3723.03,3740.51,3723.03,3735.36,2020.12,33.77,37.03,3.77%
4,12/24/20,3694.03,3703.82,3689.32,3703.06,2020.12,33.77,37.03,3.77%
5,12/23/20,3693.42,3711.24,3689.28,3690.01,2020.12,33.77,37.03,3.77%
6,12/22/20,3698.08,3698.26,3676.16,3687.26,2020.12,33.77,37.03,3.77%
7,12/21/20,3684.28,3702.9,3636.48,3694.92,2020.12,33.77,37.03,3.77%
8,12/18/20,3722.39,3726.7,3685.84,3709.41,2020.12,33.77,37.03,3.77%
9,12/17/20,3713.65,3725.12,3710.87,3722.48,2020.12,33.77,37.03,3.77%
10,12/16/20,3696.25,3711.27,3688.57,3701.17,2020.12,33.77,37.03,3.77%
11,12/15/20,3666.41,3695.29,3659.62,3694.62,2020.12,33.77,37.03,3.77%
12,12/14/20,3675.27,3697.61,3645.84,3647.49,2020.12,33.77,37.03,3.77%
13,12/11/20,3656.08,3665.91,3633.4,3663.46,2020.12,33.77,37.03,3.77%
14,12/10/20,3659.13,3678.49,3645.18,3668.1,2020.12,33.77,37.03,3.77%
15,12/09/20,3705.98,3712.39,3660.54,3672.82,2020.12,33.77,37.03,3.77%
16,12/08/20,3683.05,3708.45,3678.83,3702.25,2020.12,33.77,37.03,3.77%
17,12/07/20,3694.73,3697.41,3678.88,3691.96,2020.12,33.77,37.03,3.77%
18,12/04/20,3670.94,3699.2,3670.94,3699.12,2020.12,33.77,37.03,3.77%
19,12/03/20,3668.28,3682.73,3657.17,3666.72,2020.12,33.77,37.03,3.77%
20,12/02/20,3653.78,3670.96,3644.84,3669.01,2020.12,33.77,37.03,3.77%
21,12/01/20,3645.87,3678.45,3645.87,3662.45,2020.12,33.77,37.03,3.77%
22,11/30/20,3634.18,3634.18,3594.39,3621.63,2020.11,32.47,35.61,3.96%
23,11/27/20,3638.55,3644.31,3629.33,3638.35,2020.11,32.47,35.61,3.96%
24,11/25/20,3635.5,3635.5,3617.76,3629.65,2020.11,32.47,35.61,3.96%
25,11/24/20,3594.52,3642.31,3594.52,3635.41,2020.11,32.47,35.61,3.96%
26,11/23/20,3566.82,3589.81,3552.77,3577.59,2020.11,32.47,35.61,3.96%
27,11/20/20,3579.31,3581.23,3556.85,3557.54,2020.11,32.47,35.61,3.96%
28,11/19/20,3559.41,3585.22,3543.84,3581.87,2020.11,32.47,35.61,3.96%
29,11/18/20,3612.09,3619.09,3567.33,3567.79,2020.11,32.47,35.61,3.96%
30,11/17/20,3610.31,3623.11,3588.68,3609.53,2020.11,32.47,35.61,3.96%
31,11/16/20,3600.16,3628.51,3600.16,3626.91,2020.11,32.47,35.61,3.96%
32,11/13/20,3552.57,3593.66,3552.57,3585.15,2020.11,32.47,35.61,3.96%
33,11/12/20,3562.67,3569.02,3518.58,3537.01,2020.11,32.47,35.61,3.96%
34,11/11/20,3563.22,3581.16,3557.0,3572.66,2020.11,32.47,35.61,3.96%
35,11/10/20,3543.26,3557.22,3511.91,3545.53,2020.11,32.47,35.61,3.96%
36,11/09/20,3583.04,3645.99,3547.48,3550.5,2020.11,32.47,35.61,3.96%
37,11/06/20,3508.34,3521.58,3484.34,3509.44,2020.11,32.47,35.61,3.96%
38,11/05/20,3485.74,3529.05,3485.74,3510.45,2020.11,32.47,35.61,3.96%
39,11/04/20,3406.46,3486.25,3405.17,3443.44,2020.11,32.47,35.61,3.96%
40,11/03/20,3336.25,3389.49,3336.25,3369.16,2020.11,32.47,35.61,3.96%
41,11/02/20,3296.2,3330.14,3279.74,3310.24,2020.11,32.47,35.61,3.96%
42,10/30/20,3293.59,3304.93,3233.94,3269.96,2020.1,31.28,34.3,4.17%
43,10/29/20,3277.17,3341.05,3259.82,3310.11,2020.1,31.28,34.3,4.17%
44,10/28/20,3342.48,3342.48,3268.89,3271.03,2020.1,31.28,34.3,4.17%
45,10/27/20,3403.15,3409.51,3388.71,3390.68,2020.1,31.28,34.3,4.17%
46,10/26/20,3441.42,3441.42,3364.86,3400.97,2020.1,31.28,34.3,4.17%
47,10/23/20,3464.9,3466.46,3440.45,3465.39,2020.1,31.28,34.3,4.17%
48,10/22/20,3438.5,3460.53,3415.34,3453.49,2020.1,31.28,34.3,4.17%
49,10/21/20,3439.91,3464.86,3433.06,3435.56,2020.1,31.28,34.3,4.17%
